date_time_respond,age,nationality,country workplace,working abroad,continent,gender,marital status,qualification,institution,years of service,professional position,proportion coauthored,benefits_qualityofpaper,benefits_increaseinpublication,benefits_divisionlabour,benefits_mutualgain_expertise,benefits_knowcolleague,benefits_junior,benefits_mentorbysenior,benefits_international,benefits_sharing_researchcosts,benefits_multidisciplinary,benefits_largeinternational_crosscountry,benefits_furthernetworks,relationship_mentor_writepaper,relationship_mentor_collectdata,relationship_mentor_analyzing,relationship_mentor_designing,relationship_mentor_revising,relationship_mentor_reviewing,relationship_mentor_originalidea,relationship_colleague_writepaper,relationship_colleague_collectdata,relationship_colleague_analyzing,relationship_colleague_designing,relationship_colleague_revising,relationship_colleague_reviewing,relationship_colleague_originalidea,authororder_significantcontribution,authororder_alphabet_equalcontribution,authororder_alphabet_nosignificant,preference_nationality,preference_gender,preference_ethnicity,preference_higherrank,preference_equalacademicrank,preference_juniors,preference_department,preference_friends
11/05/2015 22:54,46 - 55,United Kingdom,United Kingdom,No,Europe,Female,Married,Masters,University,6 - 10 years,Professor,About two-third,4,1,2,4,3,4,2,4,1,4,4,2,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,In all my papers,In none of my papers,In none of my papers,Never,Never,Never,Never,Never,Never,Never,Never
11/05/2015 23:21,less than 35,France,France,No,Europe,Female,Other,Masters,University,1 - 5 years,Post Doc,All papers,3,3,1,3,2,3,3,3,2,4,3,3,Slightly Important,Slightly Important,Important,Important,Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Important,Important,Important,Slightly Important,Slightly Important,In all my papers,In none of my papers,In none of my papers,Never,Never,Never,Most of the time,Never,Never,Never,Never
11/05/2015 23:42,56 and above,United Kingdom,United Kingdom,No,Europe,Male,Married,Masters,University,More than 10 years,Professor,Almost all papers,4,2,3,4,2,2,1,2,1,2,2,2,Important,Important,Important,Important,Important,Important,Very Important,Important,Important,Important,Important,Important,Important,Very Important,In none of my papers,In about two-third of my papers,In about two-third of my papers,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
11/06/2015 00:18,56 and above,USA,USA,No,North America,Male,Married,Masters,University,More than 10 years,Professor,About two-third,4,2,4,4,4,4,1,2,3,3,2,3,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,In about one-third of my papers,In about two-third of my papers,In very few of my papers,Never,Never,Never,Never,Never,Never,Never,Never
11/06/2015 00:20,35 - 45,Spain,Spain,No,Europe,Male,Married,Masters,University,More than 10 years,Associate Professor,Almost all papers,3,3,4,4,2,3,2,3,1,3,2,3,Important,Important,Important,Very Important,Very Important,Important,Important,Important,Important,Important,Important,Very Important,Important,Important,In almost all my papers,In about one-third of my papers,In very few of my papers,Sometimes,Never,Never,Never,Never,Most of the time,Never,Sometimes
11/06/2015 00:30,56 and above,USA,USA,No,North America,Male,Single,Masters,Other,More than 10 years,Other,None. All have been solo written,2,1,2,1,2,3,2,3,2,2,2,2,Very Important,Important,Important,Very Important,Slightly Important,Slightly Important,Very Important,Important,Slightly Important,Slightly Important,Important,Slightly Important,Slightly Important,Important,In very few of my papers,In all my papers,In very few of my papers,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes
11/06/2015 00:42,less than 35,USA,Canada,Yes,North America,Male,Married,Masters,University,1 - 5 years,Assistant Professor,All papers,4,4,4,3,1,1,3,1,2,1,1,3,Important,Important,Important,Important,Important,Important,Important,Very Important,Slightly Important,Important,Very Important,Very Important,Slightly Important,Very Important,In none of my papers,In all my papers,In none of my papers,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes
11/06/2015 00:42,35 - 45,Germany,Germany,No,Europe,Male,Married,Masters,University,1 - 5 years,Assistant Professor,Almost all papers,4,4,4,2,2,3,3,2,2,3,1,1,Very Important,Slightly Important,Important,Very Important,Very Important,Not Important,Important,Very Important,Important,Important,Slightly Important,Slightly Important,Slightly Important,Important,In almost all my papers,In very few of my papers,In none of my papers,Sometimes,Never,Never,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time
11/06/2015 00:45,46 - 55,Canada,Canada,No,North America,Male,Married,Masters,University,More than 10 years,Professor,About one-third,3,1,3,3,3,2,2,2,1,1,1,2,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,In none of my papers,In none of my papers,In all my papers,Never,Never,Never,Never,Never,Never,Never,Most of the time
11/06/2015 00:49,35 - 45,Italy,Italy,No,Europe,Female,Married,Masters,University,6 - 10 years,Associate Professor,Almost all papers,4,4,3,4,2,2,3,2,2,2,2,2,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Not Important,Important,Slightly Important,Important,Very Important,Very Important,Important,Very Important,In none of my papers,In all my papers,In none of my papers,Always,Sometimes,Never,Most of the time,Sometimes,Never,Never,Never
